Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
Belgium,70.5,3.17,82.67,9.924,48.41,35.78,74.28,8.4,47.5,2197
Bulgaria,74.7,0.84,57.16,21.564,18.22,9.84,27.12,13.9,32.5,2300
Czechia,80.3,1.93,64.82,16.244,39.75,25.26,67.76,6.7,35.1,1306
Denmark,78.3,2.93,70.69,37.204,16.79,14.32,32.49,9.9,49.4,939
Germany (until 1990 former territory of the FRG),80.6,3.17,70.44,17.354,285.24,214.7,439.66,10.3,35.5,14247
Estonia,80.2,1.63,49.98,31.889,4.71,2.9,6.53,9.8,46.2,318
Ireland,75.1,1.23,113.6,11.984,14.69,12.38,44.56,5.1,55.4,1014
Greece,61.2,1.27,90.84,19.677,22.26,16.19,44.29,4.1,43.1,3162
Spain,68,1.25,119.74,18.362,120.66,86.49,200.93,17.3,44.7,11765
France,72.3,2.19,83.1,17.216,235.16,145.53,341.13,8.2,47.5,11120
Croatia,66.7,1.11,75.23,28.466,8.21,6.91,16.82,3,33.1,939
Italy,63.5,1.47,84.41,18.181,145.89,115.36,272.34,13.5,27.6,15388
Cyprus,75.7,0.74,153.81,13.8,2.54,1.89,4.31,9.2,58.8,194
Latvia,77.3,0.64,45.95,40.975,4.56,4.08,9.04,8.7,45.7,518
Lithuania,78.2,1,42.64,25.461,6.28,5.56,14.36,4,57.8,734
Luxembourg,72.8,1.16,94.16,7.047,4.5,4.39,9.23,7.2,56.2,122
Hungary,77.6,1.48,67.82,12.614,24.57,18.6,43.48,11.8,33.4,1808
Malta,76.8,0.57,96.14,8.488,0.87,0.7,1.38,13.9,38.9,97
Netherlands,80.1,2.18,88.58,8.768,63.46,49.67,100.16,7.5,51.4,2812
Austria,76.8,3.13,102.66,33.626,32.27,28.34,50.73,7.8,42.4,1472
Poland,73,1.32,87.42,12.164,100.22,73.73,206.85,5.2,46.6,6691
Portugal,75.5,1.4,118.9,30.619,22.05,17.13,41.56,10.6,36.2,2215
Romania,70.9,0.48,46.84,24.29,32.07,23.88,75.46,15.3,25.8,6073
Slovenia,76.4,2.05,94.35,21.974,6.52,4.85,10.82,4.6,44.9,293
Slovakia,73.4,0.83,59.16,16.894,15.98,11.17,21.77,8.3,40.1,877
Finland,77.2,2.8,81.41,43.081,32.01,25.3,29.32,7.3,47.3,849
Sweden,82.1,3.39,75.28,56.391,45.79,31.54,30.5,6.5,52.5,1919
type,1,1,-1,1,-1,-1,-1,-1,1,-1
