Ai,MT-TOPSIS,TOPSIS,SPOTIS,VIKOR
BE,0.9075568034905845,0.5794007134027932,0.3756881857678016,0.5946828615833601
BG,0.8550205296221812,0.4920445343472716,0.47127971627193677,0.6415988610315075
CZ,0.9223921636911662,0.5717896103745004,0.3771742240674517,0.518885712420895
DK,0.947489284243503,0.7179065198790292,0.24093059484713636,0.16090667853008872
DE,0.8973144850310969,0.46309619273358804,0.5795686969706184,0.6754620035536766
EE,0.86045853231002,0.6696377046600247,0.2664261989435559,0.2163764017418794
IE,0.8352433935150841,0.57664880569531,0.376090788331968,0.5655129143204732
EL,0.7818187384767792,0.5157718343364665,0.447484629425398,0.6928996841148094
ES,0.6469328553059137,0.3612820425979654,0.645241645423408,0.8653992556440037
FR,0.83615705368123,0.48000117337952647,0.5374667422363135,0.6377871324830748
HR,0.980322331557793,0.5535361445020922,0.38960571167663854,0.5367299720805732
IT,0.801001122788459,0.31170450099340846,0.7002138750015877,0.9696778539606556
CY,0.7393684669793373,0.5167793037915855,0.4516512122550039,0.6338823759251805
LV,0.9049133877239971,0.6540603719631561,0.2728142787293807,0.4498865951686947
LT,0.9152778724956105,0.6797105067694755,0.24047870508249314,0.3178111333712542
LU,0.8348939473031689,0.5659899923002403,0.37965798218063496,0.639558248377571
HU,0.9110133952493492,0.5086337488109284,0.45139506221725423,0.6256153039381861
MT,0.7916428839966826,0.48522914009801354,0.48368662909111954,0.713847008088118
NL,0.9292950165651603,0.6077378420644495,0.35148178313000433,0.5891641905877392
AT,0.8729384388573463,0.6320581613248099,0.3283756859424011,0.33139830668041637
PL,0.9172649512536385,0.5156623777309596,0.4752113433679711,0.6534027994574103
PT,0.7837840935013873,0.5413596800813689,0.42384055578185403,0.4618498098977243
RO,0.7462524176414183,0.43792657710234906,0.5551465858372732,0.867591971719776
SI,0.8777634111605471,0.641671944363658,0.3046287441580575,0.35704485464724994
SK,0.9251319872968682,0.538463920226413,0.4147654879154526,0.5314428894013439
FI,0.8703612288329821,0.7246866252122467,0.2478544989551067,0.11215025155381678
SE,0.9415541718775177,0.7994976172891003,0.15240989721974646,0.0
